 M_ini      Z_ini  OmOc_ini  M       logL     logTe_c  logTe_nc      MBol        MV       U-B       B-V       V-K       V-R       V-I       J-K       H-K       G-V     Gbp-V     Grp-V    G_flag        BC      r_pol   oblat   g_pol    Omega_S      v_eq   v_crit1   v_crit2  Om/Om_cr lg(Md)  lg(Md_M) Ga_Ed H1         He4        C12        C13        N14        O16        O17        O18        Ne20       Ne22       Al26

  0.830  0.014000  0.000    0.830   -0.5109    3.6679    3.6680    6.0272    6.5014    1.0154    1.0981    2.5266    0.6106    1.1347    0.6847    0.1057   -0.3167    0.2384   -0.7784    0.0000   -0.4742  5.952E+10  1.0000   4.493  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.833  0.014000  0.000    0.833   -0.5010    3.6697    3.6697    6.0025    6.4654    0.9999    1.0895    2.5056    0.6052    1.1244    0.6795    0.1044   -0.3117    0.2381   -0.7688    0.0000   -0.4629  5.974E+10  1.0000   4.491  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.836  0.014000  0.000    0.836   -0.4911    3.6714    3.6714    5.9778    6.4295    0.9840    1.0808    2.4846    0.5999    1.1140    0.6742    0.1032   -0.3066    0.2377   -0.7592    0.0000   -0.4517  5.995E+10  1.0000   4.489  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.839  0.014000  0.000    0.839   -0.4812    3.6732    3.6730    5.9531    6.3936    0.9678    1.0721    2.4634    0.5946    1.1035    0.6688    0.1022   -0.3016    0.2373   -0.7493    0.0000   -0.4405  6.017E+10  1.0000   4.488  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.842  0.014000  0.000    0.842   -0.4712    3.6749    3.6748    5.9281    6.3572    0.9510    1.0632    2.4416    0.5891    1.0926    0.6631    0.1013   -0.2964    0.2368   -0.7392    0.0000   -0.4292  6.038E+10  1.0000   4.486  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.845  0.014000  0.000    0.845   -0.4612    3.6767    3.6765    5.9030    6.3208    0.9340    1.0542    2.4196    0.5836    1.0815    0.6573    0.1005   -0.2912    0.2363   -0.7290    0.0000   -0.4178  6.059E+10  1.0000   4.485  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.848  0.014000  0.000    0.848   -0.4512    3.6785    3.6783    5.8780    6.2845    0.9167    1.0452    2.3974    0.5780    1.0703    0.6514    0.0999   -0.2859    0.2357   -0.7185    0.0000   -0.4065  6.080E+10  1.0000   4.483  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.851  0.014000  0.000    0.851   -0.4412    3.6803    3.6801    5.8530    6.2485    0.8990    1.0361    2.3756    0.5726    1.0595    0.6456    0.0991   -0.2808    0.2351   -0.7085    0.0000   -0.3955  6.101E+10  1.0000   4.482  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.854  0.014000  0.000    0.854   -0.4312    3.6821    3.6818    5.8280    6.2127    0.8810    1.0271    2.3539    0.5671    1.0488    0.6397    0.0983   -0.2759    0.2344   -0.6985    0.0000   -0.3847  6.122E+10  1.0000   4.481  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.857  0.014000  0.000    0.857   -0.4212    3.6839    3.6836    5.8030    6.1772    0.8626    1.0180    2.3324    0.5617    1.0382    0.6339    0.0975   -0.2710    0.2337   -0.6887    0.0000   -0.3742  6.141E+10  1.0000   4.479  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.860  0.014000  0.000    0.860   -0.4112    3.6857    3.6855    5.7781    6.1421    0.8439    1.0090    2.3111    0.5564    1.0279    0.6281    0.0965   -0.2663    0.2330   -0.6792    0.0000   -0.3640  6.160E+10  1.0000   4.478  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.863  0.014000  0.000    0.863   -0.4013    3.6876    3.6873    5.7532    6.1073    0.8249    1.0000    2.2899    0.5511    1.0177    0.6224    0.0956   -0.2617    0.2323   -0.6697    0.0000   -0.3541  6.178E+10  1.0000   4.477  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.866  0.014000  0.000    0.866   -0.3913    3.6894    3.6891    5.7283    6.0725    0.8059    0.9909    2.2686    0.5458    1.0076    0.6165    0.0946   -0.2572    0.2315   -0.6604    0.0000   -0.3442  6.197E+10  1.0000   4.476  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
  0.869  0.014000  0.000    0.869   -0.3813    3.6912    3.6910    5.7033    6.0379    0.7869    0.9817    2.2473    0.5406    0.9977    0.6105    0.0936   -0.2528    0.2307   -0.6512    0.0000   -0.3346  6.216E+10  1.0000   4.475  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000  0.0000  0.720E+00  0.266E+00  0.228E-02  0.277E-04  0.659E-03  0.572E-02  0.227E-05  0.129E-04  0.188E-02  0.152E-03  0.000E+00
